ID , size, flexibility, selection, target, success, time, ,,
154,1,12,3,8,7,0,0.5086604,,
154,1,12,3,11,10,0,0.6715154,,
154,1,12,3,3,2,0,0.7676064,,
154,1,12,3,1,11,0,0.6093487,,
154,1,12,3,11,12,0,0.4734713,,
154,1,12,3,10,3,0,0.3851175,,
154,1,12,3,10,5,0,0.3191924,,
154,1,12,3,10,1,0,0.3536977,,
154,1,12,3,10,4,0,0.3211702,,
154,1,12,3,10,6,0,0.347342,,
154,1,12,4,6,5,0,0.6337599,,
154,1,12,4,8,7,0,0.6247262,,
154,1,12,4,8,2,0,0.5700714,,
154,1,12,4,1,12,0,0.5979615,,
154,1,12,4,10,9,0,0.5650823,,
154,1,12,4,5,4,0,0.6620399,,
154,1,12,4,9,8,0,0.7064782,,
154,1,12,4,1,11,0,0.6993694,,
154,1,12,4,7,6,0,0.6987446,,
154,1,12,4,2,1,0,0.6363572,,
154,1,12,4,4,3,0,0.6024972,,
154,1,12,4,11,10,0,0.6461929,,
154,1,4,5,2,2,1,0.6447013,,
154,1,4,5,4,3,0,0.5382491,,
154,1,4,5,1,1,1,0.734413,,
154,1,4,5,1,4,0,0.52963,,
154,1,4,6,1,4,0,0.6383074,,
154,1,4,6,1,1,1,0.6199013,,
154,1,4,6,3,3,1,0.5993246,,
154,1,4,6,3,2,0,0.6242903,,
154,1,4,7,1,1,1,0.70126,,
154,1,4,7,3,4,0,0.3919855,,
154,1,4,7,2,2,1,0.5640477,,
154,1,4,7,3,3,1,0.5154482,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,1,2,2,1,0.8585757,,
154,1,4,1,4,4,1,0.8243151,,
154,1,4,1,1,1,1,0.8835851,,
154,1,4,1,2,3,0,0.6588107,,
154,1,4,2,1,1,1,0.6794934,,
154,1,4,2,2,2,1,0.54063,,
154,1,4,2,3,3,1,0.5201603,,
154,1,4,2,4,4,1,0.5728402,,
154,1,8,3,5,5,1,0.6199074,,
154,1,8,3,4,3,0,0.630863,,
154,1,8,3,6,6,1,0.6644892,,
154,1,8,3,2,1,0,0.587424,,
154,1,8,3,7,8,0,0.5023946,,
