date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:13:17 PM,22, 4,12,12,7,28,4, 4, 1, 1.011414
2019-09-25,11:13:18 PM,22, 4,12,12,7,29,2, 1, 0, 1.188488
2019-09-25,11:13:19 PM,22, 4,12,12,7,30,5, 6, 0, 0.6898275
2019-09-25,11:13:21 PM,22, 4,12,12,7,31,12, 12, 1, 1.204891
2019-09-25,11:13:22 PM,22, 4,12,12,7,32,3, 3, 1, 0.894166
2019-09-25,11:13:24 PM,22, 4,12,12,7,33,8, 8, 1, 0.9882358
2019-09-25,11:13:25 PM,22, 4,12,12,7,34,2, 2, 1, 0.6157941
2019-09-25,11:13:26 PM,22, 4,12,12,7,35,10, 10, 1, 0.6700912
2019-09-25,11:13:27 PM,22, 4,12,12,7,35,0, 0, AVERAGE, 0.8765599
2019-09-25,11:13:28 PM,22, 4,12,12,7,36,9, 9, 1, 0.7514638
2019-09-25,11:13:31 PM,22, 4,12,12,8,37,10, 10, 1, 0.6346641
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:15:13 PM,22, 4,12,8,1,1,1, 1, 1, 0.9489643
2019-09-25,11:15:14 PM,22, 4,12,8,1,2,6, 6, 1, 0.6140242
2019-09-25,11:15:15 PM,22, 4,12,8,1,3,5, 5, 1, 0.6637557
2019-09-25,11:15:16 PM,22, 4,12,8,1,4,2, 2, 1, 0.6055057
2019-09-25,11:15:17 PM,22, 4,12,8,1,5,8, 7, 0, 0.5631684
2019-09-25,11:15:18 PM,22, 4,12,8,1,6,3, 3, 1, 0.5891443
2019-09-25,11:15:19 PM,22, 4,12,8,1,7,8, 8, 1, 0.6645883
2019-09-25,11:15:20 PM,22, 4,12,8,1,8,4, 4, 1, 0.6433163
2019-09-25,11:15:20 PM,22, 4,12,8,1,8,0, 0, AVERAGE, 0.6615584
2019-09-25,11:15:24 PM,22, 4,12,8,2,9,5, 5, 1, 0.5868647
2019-09-25,11:15:25 PM,22, 4,12,8,2,10,2, 7, 0, 0.3622857
